level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,1,17,1,1,0,558,1213,121,16,-1,
5,1,17,1,1,1,558,1213,81,16,96.218758,distance
5,1,17,1,1,2,647,1220,11,7,90.994942,=
5,1,17,1,1,3,670,1226,9,3,90.994942,..
2,1,18,0,0,0,683,1225,317,5,-1,
3,1,18,1,0,0,683,1225,317,5,-1,
4,1,18,1,1,0,683,1225,317,5,-1,
5,1,18,1,1,1,683,1225,317,5,95.000000, 
2,1,19,0,0,0,1011,1213,46,20,-1,
3,1,19,1,0,0,1011,1213,46,20,-1,
4,1,19,1,1,0,1011,1213,46,20,-1,
5,1,19,1,1,1,1011,1217,11,12,93.124535,m
5,1,19,1,1,2,1030,1213,27,20,92.799812,[1]
2,1,20,0,0,0,151,1265,403,20,-1,
3,1,20,1,0,0,151,1265,403,20,-1,
4,1,20,1,1,0,151,1265,403,20,-1,
5,1,20,1,1,1,151,1265,31,20,91.984436,(iii)
5,1,20,1,1,2,197,1265,105,19,96.442101,"Determine,"
5,1,20,1,1,3,311,1265,25,16,96.442101,for
5,1,20,1,1,4,343,1265,29,16,96.937912,the
5,1,20,1,1,5,380,1265,58,16,96.472740,sound
5,1,20,1,1,6,447,1265,15,16,96.472740,in
5,1,20,1,1,7,470,1265,29,16,96.655907,the
5,1,20,1,1,8,507,1265,47,19,96.922676,"tube,"
2,1,21,0,0,0,197,1317,198,21,-1,
3,1,21,1,0,0,197,1317,198,21,-1,
4,1,21,1,1,0,197,1317,198,21,-1,
5,1,21,1,1,1,197,1317,16,16,58.084370,1.
5,1,21,1,1,2,242,1317,29,16,58.084370,the
5,1,21,1,1,3,279,1317,116,21,96.075951,"wavelength,"
2,1,22,0,0,0,528,1479,529,21,-1,
3,1,22,1,0,0,528,1479,529,21,-1,
4,1,22,1,1,0,528,1479,529,21,-1,
5,1,22,1,1,1,528,1479,110,21,0.000000,WaVEIENGHN
5,1,22,1,1,2,647,1486,11,7,88.790604,=
5,1,22,1,1,3,670,1492,46,3,12.499256,oe
5,1,22,1,1,4,731,1492,53,3,0.000000,ccc
5,1,22,1,1,5,801,1492,63,3,0.000000,ceeeeece
5,1,22,1,1,6,869,1492,20,3,0.000000,eee
5,1,22,1,1,7,901,1492,74,3,0.000000,reseerteee
5,1,22,1,1,8,980,1492,20,3,0.000000,ees
5,1,22,1,1,9,1011,1479,46,20,79.242599,m[1]
,,,,,,,,,,,
